YEAR,TAB_NUM,INDY_CD,AC,WT_CT_IND,WT_CT,TOT_ASSTS_IND,TOT_ASSTS,CASH_IND,CASH,TRD_NOTES_ACCTS_RCV_IND,TRD_NOTES_ACCTS_RCV,BAD_DBT_ALLW_IND,BAD_DBT_ALLW,INVNTRY_IND,INVNTRY,GVT_OBLGNS_IND,GVT_OBLGNS,TX_EXMT_SEC_IND,TX_EXMT_SEC,OTHR_CUR_ASSTS_IND,OTHR_CUR_ASSTS,LNS_TO_STKHDR_IND,LNS_TO_STKHDR,MRTG_RE_LNS_IND,MRTG_RE_LNS,OTHR_INVSMTS_IND,OTHR_INVSMTS,DPRCBL_ASSTS_IND,DPRCBL_ASSTS,ACCUM_DPR_IND,ACCUM_DPR,DPTBL_ASSTS_IND,DPTBL_ASSTS,ACCUM_DPLTN_IND,ACCUM_DPLTN,LAND_IND,LAND,INTNGBL_ASSTS_IND,INTNGBL_ASSTS,ACCUM_AMORT_IND,ACCUM_AMORT,COMP_OTHR_ASSTS_IND,COMP_OTHR_ASSTS,TOT_LBLTS_IND,TOT_LBLTS,ACCTS_PYBL_IND,ACCTS_PYBL,MRTG_LT_1YR_IND,MRTG_LT_1YR,COMP_OTHR_CUR_LBLTS_IND,COMP_OTHR_CUR_LBLTS,LNS_FRM_STKHDR_IND,LNS_FRM_STKHDR,MRTG_GT_1YR_IND,MRTG_GT_1YR,COMP_OTHR_LBLTS_IND,COMP_OTHR_LBLTS,COMP_NET_WRTH_IND,COMP_NET_WRTH,CAP_STCK_IND,CAP_STCK,PD_CAP_SRPLS_IND,PD_CAP_SRPLS,RTND_ERNGS_APPR_IND,RTND_ERNGS_APPR,COMP_RTND_ERNGS_UNAPPR_IND,COMP_RTND_ERNGS_UNAPPR,CST_TRSRY_STCK_IND,CST_TRSRY_STCK,COMP_TOT_RCPTS_IND,COMP_TOT_RCPTS,GRS_RCPTS_IND,GRS_RCPTS,INTRST_IND,INTRST,COMP_TX_EXMT_INTRST_IND,COMP_TX_EXMT_INTRST,COMP_GRS_RNTS_IND,COMP_GRS_RNTS,GRS_RYLTS_IND,GRS_RYLTS,D_NET_STCG_IND,D_NET_STCG,D_NET_LTCG_TOT_IND,D_NET_LTCG_TOT,NET_GN_LSS_POS_IND,NET_GN_LSS_POS,COMP_DIV_DOM_CORP_IND,COMP_DIV_DOM_CORP,COMP_DIV_FRN_CORP_IND,COMP_DIV_FRN_CORP,COMP_OTHR_RCPTS_IND,COMP_OTHR_RCPTS,COMP_TOT_DED_IND,COMP_TOT_DED,CST_OF_GDS_IND,CST_OF_GDS,CMPNSTN_OFFCRS_IND,CMPNSTN_OFFCRS,SLRS_WGS_IND,SLRS_WGS,RPRS_IND,RPRS,BAD_DBT_DED_IND,BAD_DBT_DED,RNTS_PD_IND,RNTS_PD,TX_PD_IND,TX_PD,INTRST_PD_IND,INTRST_PD,CNTRBTNS_IND,CNTRBTNS,TOT_AMORT_IND,TOT_AMORT,NET_DPR_IND,NET_DPR,DPLTN_IND,DPLTN,ADVRTSNG_IND,ADVRTSNG,PNSN_PRFT_SHRNG_PLNS_IND,PNSN_PRFT_SHRNG_PLNS,EMP_BNFT_PRG_IND,EMP_BNFT_PRG,DP_PROD_ACTVTY_DED_IND,DP_PROD_ACTVTY_DED,NET_GN_LSS_NEG_IND,NET_GN_LSS_NEG,COMP_OTHR_DED_IND,COMP_OTHR_DED,COMP_TOT_RCPTS_LS_TOT_DED_IND,COMP_TOT_RCPTS_LS_TOT_DED,COMP_TXBL_INCM_RFC_IND,COMP_TXBL_INCM_RFC,NET_INCM_POS_IND,NET_INCM_POS,NET_INCM_S_IND,NET_INCM_S,COMP_TOT_STAT_SPCL_DED_IND,COMP_TOT_STAT_SPCL_DED,NOLD_IND,NOLD,COMP_DIV_RCVD_DED_IND,COMP_DIV_RCVD_DED,COMP_INCM_SBJ_TX_TOT_IND,COMP_INCM_SBJ_TX_TOT,COMP_TX_BFR_CRS_IND,COMP_TX_BFR_CRS,INCM_TX_IND,INCM_TX,ALT_MIN_TX_IND,ALT_MIN_TX,FRN_TX_CR_IND,FRN_TX_CR,GEN_BUS_CR_IND,GEN_BUS_CR,MIN_TX_CR_IND,MIN_TX_CR,COMP_TX_AFTR_CRS_IND,COMP_TX_AFTR_CRS,(cash_dist + prpty_dist)_IND,(cash_dist + prpty_dist),STCK_DIST_IND,STCK_DIST
2013,2,1,13,0,2777,0,62731993062,0,3130244503,0,9414348692,0,148391758,0,677909210,0,2401301585,0,1225605858,0,3546136455,0,187591280,0,6905759027,0,26360727120,0,5504133879,0,2521979544,0,380286107,0,164322486,0,266483585,0,3438493987,0,585184587,0,2712850149,0,62731993062,0,3412065076,0,2493001770,0,12725627554,0,221991889,0,9909112833,0,8891433753,0,25078760187,0,1624723136,0,18745606735,0,317752225,0,6474179502,0,2083501410,0,13249225399,0,10988682749,0,863308642,0,33234969,0,99234268,0,159294857,0,32567423,0,87743049,0,51655285,0,20329597,0,91796245,0,821378315,0,11963452170,0,7169976167,0,41701953,0,1107103805,0,74687450,0,89786845,0,127250119,0,223889327,0,406752610,0,13278308,0,107015071,0,356208501,0,14251434,0,135981189,0,77762697,0,157299811,0,25627516,0,14906808,0,1774606160,0,1285773229,0,132283394,0,1384821654,0,10771444,0,423947285,0,138239356,0,16159739,0,947886906,0,334807679,0,331577926,0,3128852,0,106655758,0,24385927,0,1436730,0,201926532,0,785627912,0,9077734
2013,2,1,12,0,5986,0,7459211825,0,283417585,0,885808228,0,18710502,0,222256287,0,246294269,0,300327034,0,256171689,0,10095110,0,212159367,0,3670041654,0,969356443,0,475519888,0,32761624,0,13235738,0,64574229,0,661670360,0,110414776,0,262158849,0,7459211825,0,385403416,0,169808736,0,1122817875,0,45910047,0,809930303,0,454072405,0,4471269043,0,429105528,0,3446214461,0,34878301,0,778042907,0,216972154,0,2919328200,0,2628902688,0,75581249,0,11589434,0,18883245,0,13724834,0,19654919,0,16195143,0,8288430,0,1141725,0,7960112,0,117406421,0,2653428273,0,1699873118,0,17797195,0,289189339,0,16351694,0,10533523,0,43817499,0,53765297,0,57938177,0,1599876,0,20667202,0,61467437,0,1672500,0,28581625,0,14590353,0,41424320,0,4716845,0,2790511,0,271481636,0,265899927,0,8375298,0,262685791,0,22391113,0,100369733,0,20341685,0,953269,0,140901817,0,49652547,0,49219124,0,396561,0,5719680,0,2016330,0,298103,0,41600670,0,134698909,0,431832
2013,2,1,11,0,4265,0,1558622895,0,85946224,0,283747385,0,5986592,0,64508712,0,60402634,0,69127130,0,66482221,0,2560336,0,62346499,0,607355553,0,235009534,0,121371748,0,8053616,0,4457298,0,15954906,0,101734639,0,18690311,0,45899457,0,1558622895,0,80679138,0,38012151,0,375994984,0,9149794,0,139186004,0,81434047,0,834166778,0,81929166,0,627607568,0,5776572,0,141013809,0,22160335,0,762146614,0,695481569,0,16700805,0,2845090,0,3874227,0,1954717,0,3637943,0,3439213,0,2530435,0,482330,0,1072739,0,30127545,0,698210855,0,452270179,0,6814108,0,74089696,0,4013586,0,1958689,0,12858326,0,13123211,0,11257474,0,364187,0,4450503,0,16426265,0,244637,0,7819479,0,2967215,0,9911514,0,963140,0,588662,0,75170840,0,63935759,0,876134,0,61966803,0,13110519,0,19340044,0,5511749,0,381621,0,29716011,0,10401950,0,10322071,0,75041,0,773787,0,363087,0,80490,0,9180879,0,21468008,0,335521
2013,2,1,10,0,7575,0,1231189939,0,88046183,0,265561366,0,5425463,0,83970398,0,44433930,0,47422024,0,52603988,0,2720141,0,36312821,0,380280808,0,258790272,0,141509000,0,6206544,0,3087650,0,15622315,0,85427866,0,17260964,0,31074362,0,1231189939,0,83620610,0,44776122,0,307283666,0,12433594,0,117500525,0,51943278,0,613632143,0,67820204,0,407172085,0,3295602,0,151188903,0,15844651,0,944250616,0,888473102,0,10387252,0,1987428,0,3282179,0,1730219,0,2289372,0,4850831,0,1974771,0,385326,0,600949,0,28289186,0,878985890,0,618117011,0,9009598,0,82511270,0,4185945,0,2148693,0,13925669,0,13967126,0,9601593,0,265416,0,3516999,0,16860866,0,472383,0,7846558,0,3437201,0,10838825,0,791897,0,481661,0,79408484,0,65264726,0,561836,0,63839134,0,23357448,0,15187962,0,6012053,0,280999,0,25584436,0,8963647,0,8857910,0,86719,0,460868,0,296259,0,69350,0,8121694,0,20761197,0,90318
2013,2,1,9,0,8160,0,584167644,0,55691103,0,119390907,0,3026699,0,68781763,0,12209274,0,12416205,0,41038129,0,2715547,0,9880301,0,132279332,0,174066154,0,98785196,0,3229223,0,1422402,0,10968322,0,38154747,0,8849000,0,15429935,0,584167644,0,55729975,0,38282513,0,103750837,0,9359400,0,69064563,0,25092568,0,282887788,0,32244205,0,149264028,0,1515213,0,108324120,0,8459778,0,721486887,0,696165311,0,2782447,0,570416,0,1641359,0,771863,0,771191,0,2769926,0,1457847,0,233116,0,324285,0,13999126,0,678297457,0,492665788,0,7869584,0,61800658,0,2921689,0,1209437,0,10420459,0,12400863,0,5359218,0,151809,0,1894544,0,11596221,0,183336,0,5420351,0,2300438,0,8259883,0,386630,0,238005,0,52792953,0,43189431,0,308096,0,42927110,0,21625730,0,6637902,0,3618175,0,177460,0,14836455,0,5155146,0,5098214,0,52823,0,226022,0,125456,0,25507,0,4777798,0,8386032,0,32248
2013,2,1,8,0,13076,0,459664427,0,51265171,0,92813724,0,1869215,0,76847827,0,3279394,0,3768714,0,39791861,0,3359113,0,5166515,0,81310715,0,161611649,0,96223333,0,1434692,0,597966,0,9307112,0,23170909,0,6489995,0,11717541,0,459664427,0,55012856,0,47160495,0,54593881,0,10338331,0,55953453,0,18967924,0,217637487,0,27219855,0,111718224,0,1101885,0,87216598,0,9619075,0,775189410,0,751982990,0,1426626,0,305046,0,1030787,0,248355,0,474429,0,1724840,0,1264511,0,171675,0,349850,0,16210300,0,730375804,0,541657597,0,10720552,0,66919536,0,3329693,0,1037198,0,11461957,0,11668191,0,4173068,0,134694,0,1338636,0,10401176,0,157891,0,5152686,0,2367804,0,7708157,0,346356,0,314783,0,51250655,0,44813606,0,171357,0,44679917,0,27316731,0,5272050,0,3283934,0,123911,0,12121887,0,4194525,0,4140226,0,50791,0,140960,0,119785,0,21780,0,3909542,0,5861764,0,26821
2013,2,1,7,0,33794,0,527398378,0,71386470,0,117904761,0,2077466,0,106097873,0,1613506,0,1681404,0,40230233,0,5345472,0,2619177,0,68704916,0,208621535,0,132623734,0,1726570,0,861884,0,11868068,0,20470054,0,6925936,0,11617358,0,527398378,0,69573052,0,67437777,0,54542762,0,16818332,0,63658217,0,18089252,0,237278985,0,26558845,0,93372586,0,1054999,0,127665511,0,11372956,0,1132861836,0,1099938739,0,1338269,0,204448,0,1107040,0,459272,0,430945,0,4818811,0,1945993,0,211038,0,115831,0,22291451,0,1070002937,0,803248127,0,18929094,0,91847748,0,4401426,0,2960578,0,17397045,0,18064500,0,5199781,0,143645,0,1310998,0,12645145,0,164225,0,7030719,0,3366952,0,12133368,0,330048,0,176122,0,70528010,0,62858899,0,109807,0,62764258,0,42892494,0,6977539,0,3597558,0,169725,0,12937147,0,4448041,0,4400770,0,45726,0,93710,0,107196,0,17450,0,4229678,0,8147860,0,29607
2013,2,1,6,0,48262,0,340010747,0,54727870,0,81288159,0,1044941,0,67474637,0,441642,0,963978,0,22117383,0,4687742,0,1444686,0,30382085,0,159078694,0,104851024,0,763665,0,386609,0,9870444,0,11049374,0,4803051,0,6806012,0,340010747,0,49908004,0,36335269,0,32631488,0,14423260,0,48675577,0,10840571,0,147196579,0,16256085,0,36963028,0,788686,0,101184862,0,7996082,0,806091142,0,789087761,0,510449,0,90983,0,506123,0,455319,0,152370,0,1480008,0,1130118,0,93889,0,62933,0,12521189,0,760302669,0,541906291,0,19532171,0,71790947,0,3968191,0,1215418,0,15570909,0,14007609,0,3703995,0,107800,0,672805,0,8657762,0,58608,0,5567940,0,2465387,0,8849488,0,176456,0,103215,0,61920598,0,45788473,0,58740,0,45756229,0,35540051,0,2495698,0,2160529,0,67786,0,7736898,0,2605537,0,2583878,0,23607,0,32836,0,61078,0,13842,0,2496971,0,2424027,1,14013
2013,2,1,5,0,266707,0,566961004,0,108273869,0,117965451,0,1232510,0,89639252,0,320505,0,702677,0,38973735,0,13841171,0,3028608,0,45167591,0,337070856,0,237356720,0,568049,0,367463,0,25341724,0,24533424,0,11260754,0,11751541,0,566961004,0,76086755,0,40910411,0,56681114,0,39280851,0,102057208,0,15724912,0,236219754,0,26768006,0,61764086,0,2488915,0,162785638,0,17586890,0,1484735348,0,1452471046,0,852795,0,91315,0,1056318,0,245459,0,150094,0,2459058,0,2345891,0,306216,0,30499,0,24726658,0,1392107539,0,881897385,0,57104355,0,163913767,0,10210137,0,2152141,0,34654328,0,34816556,0,7481958,0,177788,0,1597715,0,17313761,0,179202,0,9841836,0,5770996,0,15578819,0,233375,0,184086,0,148982783,0,92627809,0,22455,0,92558950,0,75694725,0,5553883,0,4965462,0,235736,0,11472246,0,3509941,0,3483052,0,23458,0,24741,0,103767,0,9434,0,3372050,0,3343321,1,57271
2013,2,1,4,0,238202,0,167856609,0,39289903,0,23928329,0,153615,0,23429474,0,40979,0,50680,0,9588065,0,9301370,0,623267,0,9809916,0,131786500,0,98750878,0,268621,0,113857,0,7679046,0,12507997,0,5901795,0,4472606,0,167856609,0,18350160,0,10806064,0,14560211,0,18363699,0,36807698,0,3133852,0,65834927,0,9121786,0,22834680,0,967964,0,39739026,0,6828530,0,532655615,0,520889165,0,188903,0,13589,0,354791,0,61480,0,28211,0,1714113,0,1113668,0,75804,0,27257,0,8188633,0,493242905,0,270181383,0,31953422,0,66384886,0,4892871,0,751499,0,17320122,0,13141083,0,2669398,0,72458,0,784648,0,6344887,0,29080,0,3998416,0,2446308,0,4951024,0,47663,0,63308,0,67209179,0,39412710,1,5786,0,39404907,0,32792458,0,2524223,0,2309538,0,57656,0,4098795,0,1071226,0,1067788,0,6383,0,6102,0,31681,0,793,0,1032650,0,927221,1,1190
