YEAR,TAB_NUM,INDY_CD,AC,WT_CT_IND,WT_CT,TOT_ASSTS_IND,TOT_ASSTS,CASH_IND,CASH,TRD_NOTES_ACCTS_RCV_IND,TRD_NOTES_ACCTS_RCV,BAD_DBT_ALLW_IND,BAD_DBT_ALLW,INVNTRY_IND,INVNTRY,GVT_OBLGNS_IND,GVT_OBLGNS,TX_EXMT_SEC_IND,TX_EXMT_SEC,OTHR_CUR_ASSTS_IND,OTHR_CUR_ASSTS,LNS_TO_STKHDR_IND,LNS_TO_STKHDR,MRTG_RE_LNS_IND,MRTG_RE_LNS,OTHR_INVSMTS_IND,OTHR_INVSMTS,DPRCBL_ASSTS_IND,DPRCBL_ASSTS,ACCUM_DPR_IND,ACCUM_DPR,DPTBL_ASSTS_IND,DPTBL_ASSTS,ACCUM_DPLTN_IND,ACCUM_DPLTN,LAND_IND,LAND,INTNGBL_ASSTS_IND,INTNGBL_ASSTS,ACCUM_AMORT_IND,ACCUM_AMORT,COMP_OTHR_ASSTS_IND,COMP_OTHR_ASSTS,TOT_LBLTS_IND,TOT_LBLTS,ACCTS_PYBL_IND,ACCTS_PYBL,MRTG_LT_1YR_IND,MRTG_LT_1YR,COMP_OTHR_CUR_LBLTS_IND,COMP_OTHR_CUR_LBLTS,LNS_FRM_STKHDR_IND,LNS_FRM_STKHDR,MRTG_GT_1YR_IND,MRTG_GT_1YR,COMP_OTHR_LBLTS_IND,COMP_OTHR_LBLTS,COMP_NET_WRTH_IND,COMP_NET_WRTH,CAP_STCK_IND,CAP_STCK,PD_CAP_SRPLS_IND,PD_CAP_SRPLS,COMP_RTND_ERNGS_UNAPPR_IND,COMP_RTND_ERNGS_UNAPPR,CST_TRSRY_STCK_IND,CST_TRSRY_STCK,COMP_TOT_RCPTS_IND,COMP_TOT_RCPTS,GRS_RCPTS_IND,GRS_RCPTS,COMP_TX_EXMT_INTRST_IND,COMP_TX_EXMT_INTRST,NET_GN_LSS_POS_IND,NET_GN_LSS_POS,COMP_OTHR_RCPTS_IND,COMP_OTHR_RCPTS,COMP_TOT_DED_IND,COMP_TOT_DED,CST_OF_GDS_IND,CST_OF_GDS,CMPNSTN_OFFCRS_IND,CMPNSTN_OFFCRS,SLRS_WGS_IND,SLRS_WGS,RPRS_IND,RPRS,BAD_DBT_DED_IND,BAD_DBT_DED,RNTS_PD_IND,RNTS_PD,TX_PD_IND,TX_PD,INTRST_PD_IND,INTRST_PD,TOT_AMORT_IND,TOT_AMORT,NET_DPR_IND,NET_DPR,DPLTN_IND,DPLTN,ADVRTSNG_IND,ADVRTSNG,PNSN_PRFT_SHRNG_PLNS_IND,PNSN_PRFT_SHRNG_PLNS,EMP_BNFT_PRG_IND,EMP_BNFT_PRG,NET_GN_LSS_NEG_IND,NET_GN_LSS_NEG,COMP_OTHR_DED_IND,COMP_OTHR_DED,COMP_TOT_RCPTS_LS_TOT_DED_IND,COMP_TOT_RCPTS_LS_TOT_DED,S_NET_INCM_IND,S_NET_INCM,S_NET_INCM_POS_IND,S_NET_INCM_POS,S_NET_INCM_NEG_IND,S_NET_INCM_NEG,a.net_incm_pos_IND,a.net_incm_pos,S_PORT_INCM_IND,S_PORT_INCM,S_DIV_INCM_IND,S_DIV_INCM,S_INTRST_INCM_IND,S_INTRST_INCM,S_RYLTS_INCM_IND,S_RYLTS_INCM,S_NET_STCG_LSS_IND,S_NET_STCG_LSS,S_NET_LTCG_LSS_IND,S_NET_LTCG_LSS,S_NET_INCM_RNTL_RE_IND,S_NET_INCM_RNTL_RE,S_NET_INCM_RNTL_RE_POS_IND,S_NET_INCM_RNTL_RE_POS,S_NET_INCM_RNTL_RE_NEG_IND,S_NET_INCM_RNTL_RE_NEG,S_NET_INCM_OTHR_RNTL_IND,S_NET_INCM_OTHR_RNTL,S_NET_INCM_OTHR_RNTL_POS_IND,S_NET_INCM_OTHR_RNTL_POS,S_NET_INCM_OTHR_RNTL_NEG_IND,S_NET_INCM_OTHR_RNTL_NEG,a.comp_tx_bfr_crs_IND,a.comp_tx_bfr_crs,a.incm_tx_IND,a.incm_tx,S_EX_NET_PSV_INCM_TX_IND,S_EX_NET_PSV_INCM_TX
2013,4,1,12,0,3126,0,1188757851,0,145805304,0,384955436,0,6592120,0,85638134,0,55105070,0,29646498,0,45955391,0,3786673,0,49889763,0,203265351,0,259040322,0,143121848,0,11746468,0,4592537,0,16612155,0,35559917,0,7850717,0,23908590,0,1188757851,0,153085160,0,50534787,0,459421245,0,7016776,0,116424751,0,57647426,0,344627706,0,7838427,0,48316849,0,307172719,0,18700289,0,997277300,0,952235840,0,1051400,0,5216768,0,38773292,0,926159851,0,679981787,0,8455919,0,88299071,0,4892677,0,2639572,0,12532784,0,14240360,0,8177990,0,2369908,0,17715781,0,313079,0,7657662,0,4647154,0,11083372,0,200472,0,62952265,0,71117449,0,79583182,0,79641956,0,58773,0,70066048,0,8799410,0,2413765,0,2143104,0,616845,0,234976,0,3390720,0,490363,0,643096,0,152733,0,227360,0,374888,0,147528,0,32981,0,16718,0,15367
2013,4,1,11,0,3097,0,215519883,0,24558910,0,58842280,0,1094877,0,37347558,0,4390303,0,2745183,0,12443790,0,1622393,0,2408940,0,25421553,0,79599466,0,47431818,0,1130569,0,546403,0,4381326,0,8018732,0,2306742,0,3988721,0,215519883,0,25129182,0,21123963,0,44359096,0,4316861,0,25562932,0,5907016,0,89120833,0,2297476,0,11646689,0,78942667,0,3766000,0,388542455,0,381503510,0,117059,0,665154,0,6256732,0,367217947,0,286740759,0,4286961,0,28020681,0,1452557,0,520316,0,4975031,0,5327151,0,1753219,0,524395,0,5209507,0,60425,0,2711286,0,1164464,0,3817315,0,39831,0,20614050,0,21324507,0,23454927,0,23485948,0,31021,0,21207449,0,2046640,0,497575,0,468577,0,86893,0,40853,0,952742,0,183957,0,243964,0,60007,0,16881,0,51320,0,34439,0,11054,0,6556,0,4255
2013,4,1,10,0,6290,0,215777036,0,26830649,0,52538759,0,771409,0,50362219,0,817710,0,844883,0,13604846,0,2257347,0,1975035,0,19516682,0,88090705,0,54493698,0,754877,0,360677,0,4266137,0,7278510,0,2213791,0,4478251,0,215777036,0,29611974,0,32734984,0,24285259,0,6039369,0,27098640,0,5509280,0,90497530,0,5684480,0,13990378,0,77482580,0,6659907,0,485001406,0,475499602,0,53028,0,720263,0,8728514,0,457648890,0,355332280,0,6175659,0,38887108,0,1825939,0,554425,0,6883590,0,6622067,0,1994450,0,497953,0,5553185,0,85196,0,3201240,0,1321862,0,4363301,0,38925,0,24311711,0,27352516,0,29129313,0,29232160,0,102847,0,27299488,0,1645533,0,458199,0,372321,0,160212,0,15690,0,639111,0,169713,0,224770,0,55057,0,14579,0,48769,0,34190,0,5651,0,3430,1,2162
2013,4,1,9,0,19868,0,305970442,0,43657316,0,73652489,0,1057192,0,73628221,0,117357,0,593907,0,17518539,0,3868528,0,1541265,0,25270238,0,132704304,0,85993547,0,850393,0,427482,0,6784766,0,11056978,0,3612468,0,5816832,0,305970442,0,41542742,0,49252987,0,28350798,0,10597911,0,39489670,0,6542443,0,130193891,0,5184452,0,20724660,0,111421670,0,7136891,0,772866903,0,758923605,0,64674,0,1000603,0,12878021,0,729909735,0,566879393,0,12289508,0,58943934,0,2761265,0,884144,0,11648761,0,11347222,0,3068561,0,749423,0,7465599,0,46436,0,4925475,0,2059617,0,7632056,0,40933,0,39167408,0,42957168,0,45350410,0,45421362,0,70952,0,42892494,0,2204100,0,515536,0,546749,0,138666,0,41189,0,961959,0,242464,0,406002,0,163539,0,11352,0,35267,0,23915,0,13361,0,9975,0,3303
2013,4,1,8,0,30343,0,214617014,0,35859331,0,53238062,0,587968,0,45547741,1,21454,1,485326,0,12299759,0,3154661,0,900959,0,13048193,0,106204182,0,69435818,0,464262,0,219209,0,5546586,0,7237488,0,3168896,0,4020901,0,214617014,0,31028448,0,25259268,0,18655338,0,9758891,0,32652211,0,5639637,0,91623220,0,6228424,0,13991503,0,75926318,0,4523024,0,547896305,0,539841532,0,19139,0,763559,0,7272074,0,512336729,0,375342545,0,11955074,0,48670546,0,2595388,0,871564,0,10493923,0,9289105,0,2337923,0,411944,0,5064370,1,4073,0,3434938,0,1548465,0,5595065,0,38668,0,34683136,0,35559576,0,37386594,0,37417822,1,31228,0,35540437,0,1525386,0,272326,0,315626,0,168653,0,23936,0,744845,0,302565,0,345360,0,42796,0,18207,0,27330,1,9124,0,5195,0,4790,1,392
2013,4,1,7,0,168318,0,357948418,0,69261968,0,74492260,0,744801,0,56893652,1,55618,1,283478,0,24353829,0,9291723,0,1451521,0,23038259,0,219180036,0,151174488,0,228636,0,139767,0,14334396,0,19138698,0,8689864,0,6693263,0,357948418,0,47634884,0,26574231,0,34095059,0,24942809,0,71148326,0,8745536,0,144807573,0,10773635,0,29133029,0,114402500,0,9501591,0,1027287903,0,1012229802,0,29486,0,1427496,0,13601119,0,951564078,0,616837154,0,36244305,0,114315950,0,6722942,0,1406425,0,22867708,0,23741392,0,4992212,0,1110781,0,8838239,1,72884,0,7065444,0,3467245,0,9734458,0,47292,0,94099647,0,75723825,0,79230174,0,79298919,0,68744,0,75694340,0,2978117,0,208900,0,509419,0,59847,0,105147,0,2094805,0,491840,0,721422,0,229582,0,65878,0,139735,1,73857,0,16388,0,16352,0,36
2013,4,1,6,0,160419,0,112166521,0,26256321,0,14285248,0,73721,0,15695365,1,987,1,14871,0,6369485,0,6254191,0,341018,0,5586089,0,90875006,0,67136319,1,97628,1,54445,0,5118744,0,10386424,0,4704841,0,2854469,0,112166521,0,12050406,0,7384137,0,8721888,0,13355196,0,27409886,0,1135518,0,42109489,0,4234095,0,11368219,0,29900386,0,3393212,0,377900985,0,372247096,1,5179,0,576333,0,5072376,0,345103348,0,194302802,0,20306813,0,47257251,0,3320775,0,316487,0,12121173,0,9072302,0,1875104,0,662435,0,3697269,1,5443,0,3029084,0,1521801,0,2872168,1,23133,0,44719306,0,32797637,0,33497393,0,33527731,1,30338,0,32792458,0,409059,0,26715,0,118626,1,1277,0,-6644,0,269085,0,322874,0,359705,0,36831,0,-26998,0,46799,1,73797,1,1375,1,791,1,584
2013,4,1,5,0,238497,0,84835210,0,24623958,0,9488469,1,894877,0,8631181,0,0,1,6993,0,4552820,0,7233368,1,359287,0,3334426,0,75356389,0,56872294,1,40058,1,1791,0,2245483,0,9230030,0,4483066,0,1984778,0,84835210,0,6277026,0,5023359,0,8830442,0,9785488,0,17512898,0,1316747,0,36089249,0,5482533,0,8244205,0,23565654,0,1203142,0,341890537,0,335482051,0,4273,0,320779,0,6083433,0,307267057,0,141976821,0,27127394,0,50623855,0,2476981,0,262058,0,13464696,0,9567005,0,1573274,0,545673,0,3349221,0,0,0,2986279,0,2449965,0,2965109,1,1453,0,47897274,0,34623480,0,35565056,0,35611883,1,46827,0,34619207,0,823830,0,45915,0,79158,1,18486,0,-68564,0,748835,0,120309,0,168932,0,48623,1,1710,1,4754,1,3044,0,0,0,0,0,0
2013,4,1,4,0,414782,0,66052011,0,22722659,0,4973892,1,22986,0,6454503,0,0,1,17583,0,3268790,0,5391380,1,19054,0,1652759,0,72837653,0,57354855,1,41142,1,31494,0,1123752,0,9415888,0,5428759,0,971050,0,66052011,0,4472544,0,3950751,0,7087497,0,10914541,0,12946694,0,879666,0,25800318,0,4504801,0,8493074,0,14270452,0,1468009,0,366289472,0,359569325,1,133,0,385415,0,6334599,0,326604132,0,144136520,0,31405814,0,51569985,0,2929396,0,155542,0,16025003,0,10280788,0,1341771,0,528658,0,2955530,1,4547,0,3391265,0,2415227,0,2910392,1,7399,0,56546296,0,39685340,0,39851663,0,39950868,1,99204,0,39685207,0,67798,0,13999,0,48480,1,2828,0,-665,0,3157,0,90432,0,109787,1,19356,1,8226,1,8873,1,648,1,5558,1,5558,0,0
2013,4,1,3,0,1276195,0,37365169,0,17078153,0,1983809,1,10471,0,2387789,1,180,1,2773,0,1332729,0,3227682,1,25503,0,866076,0,72075110,0,63199036,1,12065,1,5595,0,184990,0,4491742,0,3468153,0,379822,0,37365169,0,2859115,0,2731812,0,6655499,0,11634364,0,7774249,0,2291734,0,3418396,0,3764307,0,12981529,0,-11876872,0,1450568,0,425917345,0,417286750,1,486,0,449419,0,8180691,0,367141686,0,122848207,0,52199879,0,55196384,0,3549495,0,220248,0,17433733,0,12210894,0,1248981,0,206966,0,2840805,1,12473,0,4191484,0,2514731,0,3196449,0,51269,0,89219687,0,58775659,0,59415279,0,59437225,1,21946,0,58775174,0,596734,0,7297,0,29185,1,8490,0,7665,0,544097,0,43610,0,52214,0,8604,1,-239,1,104,1,343,1,1628,1,1628,0,0
