YEAR,TAB_NUM,INDY_CD,AC,WT_CT_IND,WT_CT,TOT_ASSTS_IND,TOT_ASSTS,CASH_IND,CASH,TRD_NOTES_ACCTS_RCV_IND,TRD_NOTES_ACCTS_RCV,BAD_DBT_ALLW_IND,BAD_DBT_ALLW,INVNTRY_IND,INVNTRY,GVT_OBLGNS_IND,GVT_OBLGNS,TX_EXMT_SEC_IND,TX_EXMT_SEC,OTHR_CUR_ASSTS_IND,OTHR_CUR_ASSTS,LNS_TO_STKHDR_IND,LNS_TO_STKHDR,MRTG_RE_LNS_IND,MRTG_RE_LNS,OTHR_INVSMTS_IND,OTHR_INVSMTS,DPRCBL_ASSTS_IND,DPRCBL_ASSTS,ACCUM_DPR_IND,ACCUM_DPR,DPTBL_ASSTS_IND,DPTBL_ASSTS,ACCUM_DPLTN_IND,ACCUM_DPLTN,LAND_IND,LAND,INTNGBL_ASSTS_IND,INTNGBL_ASSTS,ACCUM_AMORT_IND,ACCUM_AMORT,COMP_OTHR_ASSTS_IND,COMP_OTHR_ASSTS,TOT_LBLTS_IND,TOT_LBLTS,ACCTS_PYBL_IND,ACCTS_PYBL,MRTG_LT_1YR_IND,MRTG_LT_1YR,COMP_OTHR_CUR_LBLTS_IND,COMP_OTHR_CUR_LBLTS,LNS_FRM_STKHDR_IND,LNS_FRM_STKHDR,MRTG_GT_1YR_IND,MRTG_GT_1YR,COMP_OTHR_LBLTS_IND,COMP_OTHR_LBLTS,COMP_NET_WRTH_IND,COMP_NET_WRTH,CAP_STCK_IND,CAP_STCK,PD_CAP_SRPLS_IND,PD_CAP_SRPLS,COMP_RTND_ERNGS_UNAPPR_IND,COMP_RTND_ERNGS_UNAPPR,CST_TRSRY_STCK_IND,CST_TRSRY_STCK,COMP_TOT_RCPTS_IND,COMP_TOT_RCPTS,GRS_RCPTS_IND,GRS_RCPTS,COMP_TX_EXMT_INTRST_IND,COMP_TX_EXMT_INTRST,NET_GN_LSS_POS_IND,NET_GN_LSS_POS,COMP_OTHR_RCPTS_IND,COMP_OTHR_RCPTS,COMP_TOT_DED_IND,COMP_TOT_DED,CST_OF_GDS_IND,CST_OF_GDS,CMPNSTN_OFFCRS_IND,CMPNSTN_OFFCRS,SLRS_WGS_IND,SLRS_WGS,RPRS_IND,RPRS,BAD_DBT_DED_IND,BAD_DBT_DED,RNTS_PD_IND,RNTS_PD,TX_PD_IND,TX_PD,INTRST_PD_IND,INTRST_PD,TOT_AMORT_IND,TOT_AMORT,NET_DPR_IND,NET_DPR,DPLTN_IND,DPLTN,ADVRTSNG_IND,ADVRTSNG,PNSN_PRFT_SHRNG_PLNS_IND,PNSN_PRFT_SHRNG_PLNS,EMP_BNFT_PRG_IND,EMP_BNFT_PRG,NET_GN_LSS_NEG_IND,NET_GN_LSS_NEG,COMP_OTHR_DED_IND,COMP_OTHR_DED,COMP_TOT_RCPTS_LS_TOT_DED_IND,COMP_TOT_RCPTS_LS_TOT_DED,S_NET_INCM_POS_IND,S_NET_INCM_POS,a.net_incm_IND,a.net_incm,NET_INCM_POS_IND,NET_INCM_POS,NET_INCM_NEG_IND,NET_INCM_NEG,S_PORT_INCM_IND,S_PORT_INCM,S_DIV_INCM_IND,S_DIV_INCM,S_INTRST_INCM_IND,S_INTRST_INCM,S_RYLTS_INCM_IND,S_RYLTS_INCM,S_NET_STCG_LSS_IND,S_NET_STCG_LSS,S_NET_LTCG_LSS_IND,S_NET_LTCG_LSS,S_NET_INCM_RNTL_RE_IND,S_NET_INCM_RNTL_RE,S_NET_INCM_RNTL_RE_POS_IND,S_NET_INCM_RNTL_RE_POS,S_NET_INCM_RNTL_RE_NEG_IND,S_NET_INCM_RNTL_RE_NEG,S_NET_INCM_OTHR_RNTL_IND,S_NET_INCM_OTHR_RNTL,S_NET_INCM_OTHR_RNTL_POS_IND,S_NET_INCM_OTHR_RNTL_POS,S_NET_INCM_OTHR_RNTL_NEG_IND,S_NET_INCM_OTHR_RNTL_NEG,a.comp_tx_bfr_crs_IND,a.comp_tx_bfr_crs,a.incm_tx_IND,a.incm_tx,S_EX_NET_PSV_INCM_TX_IND,S_EX_NET_PSV_INCM_TX
2013,5,1,12,0,3350,0,1294349478,0,152260194,0,393539677,0,6707313,0,88331450,0,56164279,0,29994162,0,51455147,0,4974379,0,50450709,0,252685815,0,294218669,0,154011862,0,11902654,0,4659475,0,20333541,0,38470416,0,8481629,0,23428666,0,1294349478,0,157087643,0,52907192,0,466027284,0,8052796,0,142899666,0,71025402,0,396349494,0,8416897,0,64894410,0,342916545,0,19878358,0,1030389369,0,985963336,0,1094614,0,5246734,0,38084686,0,961811184,0,706209609,0,8888719,0,91991051,0,5075205,0,2807954,0,12897902,0,14636626,0,8536354,0,2441394,0,18327662,0,372806,0,7929791,0,4829476,0,11444280,0,212294,0,65210060,0,68578185,0,84002967,0,67483571,0,69978119,0,2494548,0,14926908,0,4083885,0,2850981,0,767561,0,1219458,0,6005024,0,1163970,0,1300205,0,136235,0,428518,0,516411,0,87893,0,40261,0,23950,0,15367
2013,5,1,11,0,3359,0,233642781,0,25845790,0,60742590,0,1139342,0,38099705,0,4550103,0,2950040,0,14227804,0,2070635,0,2815230,0,31878906,0,85038179,0,50168341,0,1158348,0,568419,0,5317565,0,8262075,0,2382082,0,4943995,0,233642781,0,25813861,0,22224792,0,45514759,0,4887173,0,29464490,0,6866627,0,98871079,0,2493313,0,16530064,0,83890177,0,4042475,0,396238502,0,389105310,0,133026,0,686108,0,6314058,0,375179877,0,292385562,0,4453247,0,28850657,0,1503909,0,534680,0,5082668,0,5452016,0,1827023,0,531349,0,5323126,0,61840,0,2768561,0,1201656,0,3908139,0,47465,0,21247979,0,21058625,0,24479380,0,20925599,0,21196991,0,271392,0,3020638,0,626262,0,640140,0,120787,0,73684,0,1559766,0,480101,0,537047,0,56947,0,53043,0,79447,0,26404,0,12114,0,7609,0,4255
2013,5,1,10,0,6859,0,235094730,0,28411326,0,53845985,0,782290,0,50906085,0,861088,0,977268,0,14958824,0,2963370,0,2202170,0,26037240,0,95291263,0,57877627,0,821874,0,346711,0,6090811,0,7654112,0,2342734,0,5422676,0,235094730,0,30215106,0,33508715,0,25180171,0,6640698,0,32038212,0,6280393,0,101231435,0,6178599,0,20770734,0,81238618,0,6956516,0,489733935,0,480078260,0,66875,0,733614,0,8855187,0,462657641,0,358465226,0,6288196,0,39439176,0,1874260,0,574002,0,6967078,0,6726991,0,2056781,0,511674,0,5703062,0,85485,0,3247200,0,1341289,0,4441064,0,41506,0,24894654,0,27076294,0,30805696,0,27009419,0,27290933,0,281513,0,3134606,0,592174,0,508104,0,225633,0,70760,0,1737934,0,613029,0,667493,0,54464,0,48642,0,70419,0,21776,0,5760,0,3525,1,2162
2013,5,1,9,0,21715,0,333591499,0,46162738,0,78459434,0,1134916,0,74404699,0,179508,0,779361,0,19853546,0,5113636,0,1993567,0,32012665,0,147637503,0,93113911,0,927552,0,448828,0,9911026,0,11396858,0,3777382,0,3234442,0,333591499,0,42267934,0,51810584,0,29316695,0,12331208,0,49522097,0,7895294,0,140447687,0,6563232,0,27914997,0,113368874,0,7399416,0,782187500,0,768098893,0,87843,0,1023768,0,12976995,0,739610729,0,574152171,0,12479238,0,59674891,0,2821218,0,910664,0,11806308,0,11516780,0,3148797,0,757291,0,7631396,0,47873,0,4983298,0,2085044,0,7698487,0,53227,0,39844048,0,42576770,0,47404500,0,42488927,0,42876119,0,387192,0,3510388,0,807384,0,770246,0,185062,0,85148,0,1662549,0,1333483,0,1418514,0,85031,0,71702,0,96781,0,25079,0,13634,0,10248,0,3303
2013,5,1,8,0,34003,0,239771518,0,38010807,0,54227218,0,588308,0,46380131,1,86086,1,485326,0,13892845,0,4685817,0,1897545,0,17677050,0,120759185,0,76607595,0,467531,0,221549,0,9356806,0,7789028,0,3472760,0,4946355,0,239771518,0,31457923,0,27080946,0,19229993,0,11656211,0,41351226,0,7411163,0,101584056,0,7302061,0,18085683,0,81314452,0,5118141,0,551580764,0,543461169,0,26814,0,767045,0,7325736,0,516446031,0,377399127,0,12200565,0,49307448,0,2675798,0,883302,0,10671867,0,9434128,0,2376694,0,433395,0,5162499,1,4073,0,3486010,0,1569159,0,5634000,0,41292,0,35166675,0,35134733,0,39530968,0,35107919,0,35529071,0,421152,0,3216109,0,391921,0,555069,0,808343,0,35695,0,1425080,0,1172367,0,1219959,0,47593,0,34573,0,35876,1,1304,0,5210,0,4790,1,406
2013,5,1,7,0,198299,0,422073790,0,75285049,0,77515391,0,818401,0,57235191,1,55749,0,433861,0,29482971,0,11189780,0,3160774,0,33283831,0,262573928,0,171615481,0,485485,0,265156,0,25399064,0,19948781,0,9156165,0,7879137,0,422073790,0,48552081,0,29085970,0,36002549,0,31380866,0,96614904,0,11557879,0,168879541,0,15049667,0,38603892,0,126389674,0,11163692,0,1038947137,0,1023743781,0,45086,0,1445947,0,13712324,0,963962156,0,623336201,0,37188527,0,115750818,0,6928511,0,1428959,0,23552564,0,24085506,0,5148199,0,1125451,0,9120741,0,76482,0,7122512,0,3491805,0,9846255,0,49403,0,95710221,0,74984982,0,84103661,0,74939896,0,75598007,0,658111,0,4924856,0,308111,0,957990,0,165116,0,155120,0,3338520,0,3779977,0,3957687,0,177710,0,458931,0,466313,1,7382,0,17095,0,16519,1,215
2013,5,1,6,0,187908,0,131780773,0,28446413,0,14706843,0,75623,0,15820921,1,987,1,36082,0,7078801,0,7191171,0,1366319,0,7689258,0,107183576,0,76120888,0,118504,0,59157,0,9213000,0,11037042,0,5100557,0,3248082,0,131780773,0,12327689,0,7743370,0,9288096,0,18489280,0,33017233,0,1979731,0,48935375,0,5752978,0,16404007,0,30887729,0,4109338,0,381099717,0,375381990,0,11702,0,626515,0,5079509,0,348613569,0,195552691,0,20520050,0,48004474,0,3364739,0,316850,0,12333551,0,9187855,0,1945650,0,674741,0,3767025,1,5443,0,3077116,0,1536032,0,2913620,0,25125,0,45388607,0,32486148,0,35967264,0,32474446,0,32727361,0,252914,0,1561693,0,59831,0,211282,0,12739,0,50406,0,1227434,0,1823935,0,1849853,0,25917,0,107190,0,107190,0,0,1,1697,1,1113,1,584
2013,5,1,5,0,264900,0,94515046,0,25461873,0,10020077,1,894877,0,8780073,0,0,1,6993,0,4860732,0,7639814,1,566752,0,4412016,0,84182551,0,61523915,1,40058,1,1791,0,4013290,0,9393447,0,4583859,0,2141812,0,94515046,0,6317302,0,5278093,0,9269132,0,11669102,0,19762971,0,1773716,0,40444730,0,6243906,0,9931316,0,25750573,0,1481065,0,347425535,0,340787899,0,4548,0,328598,0,6304490,0,313123757,0,146579121,0,27215377,0,51192922,0,2499498,0,262239,0,13467574,0,9687792,0,1621468,0,545843,0,3378800,0,0,0,2995498,0,2448928,0,2973854,1,1453,0,48253389,0,34301778,0,37318785,0,34297230,0,34581437,0,284208,0,1942414,0,72546,0,119368,0,111571,0,-30659,0,1669589,0,972398,0,990262,0,17864,0,106743,1,109787,1,3044,0,0,0,0,0,0
2013,5,1,4,0,442405,0,70398403,0,23527284,0,5116412,1,22986,0,6454313,0,0,1,17583,0,3434837,0,5700665,1,19054,0,2153159,0,77146061,0,59868335,1,41142,1,31494,0,1705751,0,9501689,0,5458783,0,962050,0,70398403,0,4505694,0,4100421,0,7242373,0,11934291,0,13526944,0,958670,0,28130011,0,4818703,0,9213611,0,15744653,0,1646956,0,367391594,0,360435267,1,899,0,433629,0,6521800,0,327895980,0,144534750,0,31592771,0,51705362,0,2942433,0,156752,0,16092624,0,10347642,0,1364425,0,539955,0,2980987,1,4547,0,3399258,0,2477713,0,2910921,1,7399,0,56838442,0,39495614,0,41260415,0,39494716,0,39678372,0,183656,0,793465,0,52517,0,91834,1,3839,0,4724,0,640551,0,938759,0,955416,1,16656,1,33474,1,34122,1,648,1,5558,1,5558,0,0
2013,5,1,3,0,1310472,0,38648833,0,17443088,0,1988333,1,10471,0,2420338,1,180,1,2773,0,1388625,0,3263000,1,62438,0,1057223,0,73637373,0,64407687,1,37377,1,5595,0,352899,0,4615296,0,3591569,0,395212,0,38648833,0,2870650,0,2823709,0,6717081,0,12173289,0,7923588,0,2349720,0,3790796,0,4368761,0,13830467,0,-12666872,0,1741560,0,426259209,0,417611172,1,509,0,464079,0,8183450,0,367554832,0,123017836,0,52231562,0,55260335,0,3552782,0,219053,0,17461922,0,12228868,0,1241237,0,198209,0,2844727,1,12473,0,4206995,0,2515088,0,3198328,0,51269,0,89314148,0,58704377,0,60603960,0,58703869,0,58746820,0,42951,0,1446618,0,9907,0,157159,0,354283,0,6907,0,918361,0,424748,0,433688,0,8940,1,28725,1,29068,1,343,1,1628,1,1628,0,0
