Table 3.7ESI. Investment in Private Fixed Assets by Industry
Table 3.7ESI. Investment in Private Fixed Assets by Industry
"Last Revised on: September 26, 2025"
Line,,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
,,,,,,,,,,,,,,,,,,,,
1,"        Private fixed assets",1885.5,1986.2,2193.8,2454.4,2608.9,2614.3,2488.4,2054.3,2103.8,2280.1,2529.1,2714.6,2966.1,3107.1,3187.7,3383.8,3616.8,3763.1,3731.3
2,"Agriculture, forestry, fishing, and hunting",28.9,30.7,34.7,37.3,35.8,36.4,43.0,41.9,43.8,49.6,61.4,69.7,78.1,57.5,49.9,52.4,50.7,54.8,54.2
3,"    Farms 1",26.3,27.5,30.5,31.5,30.0,31.8,37.4,36.7,37.0,43.3,55.1,63.5,70.3,50.2,40.8,44.1,41.0,46.4,47.6
4,"    Forestry, fishing, and related activities",2.6,3.2,4.2,5.8,5.8,4.6,5.6,5.2,6.8,6.3,6.3,6.2,7.8,7.3,9.1,8.4,9.7,8.4,6.6
5,Mining,41.3,53.1,63.5,88.8,125.0,137.3,161.2,113.7,131.9,174.7,209.7,207.7,236.7,174.1,93.7,130.7,157.0,158.8,102.9
6,"    Oil and gas extraction",33.8,44.7,51.7,71.7,98.8,108.1,125.3,87.2,103.1,130.2,162.7,164.5,192.6,137.9,72.5,103.5,122.8,128.9,72.4
7,"    Mining, except oil and gas",4.3,4.6,7.4,10.2,14.4,13.5,14.8,12.8,14.9,22.0,22.7,18.9,17.5,18.2,11.1,13.2,14.3,17.8,16.9
8,"    Support activities for mining",3.3,3.7,4.4,6.8,11.8,15.7,21.1,13.7,13.9,22.4,24.2,24.4,26.6,18.0,10.1,14.1,20.0,12.1,13.7
9,Utilities,63.4,63.9,57.6,63.1,74.4,96.8,106.2,110.1,100.9,108.6,127.5,122.5,140.1,154.3,165.6,149.6,166.8,184.7,193.6
10,"    Electric power",56.6,56.3,48.3,53.6,65.4,85.6,93.9,97.8,89.1,95.3,109.7,102.3,119.1,132.2,143.0,127.2,139.2,155.0,161.1
11,"    Natural gas distribution",5.4,5.9,6.8,7.2,6.7,8.8,9.1,9.5,8.8,10.0,15.5,17.9,18.4,18.8,19.9,19.0,23.1,25.6,27.4
12,"    Water, sewage, and other systems",1.4,1.7,2.4,2.2,2.3,2.5,3.3,2.8,3.0,3.3,2.3,2.3,2.6,3.3,2.7,3.3,4.5,4.1,5.1
13,Construction,31.6,28.6,37.8,40.5,43.5,46.8,47.0,21.0,28.0,32.6,36.6,41.9,43.4,48.1,47.9,47.0,48.9,60.7,55.7
14,Manufacturing,291.0,280.2,291.2,323.2,346.3,397.5,418.1,357.8,365.0,405.5,435.2,467.3,484.4,501.4,506.3,521.2,555.9,576.1,573.4
15,"    Durable goods",171.7,164.6,170.2,190.4,203.5,226.7,245.2,201.1,209.8,243.6,256.5,269.9,274.3,275.4,272.4,289.1,307.6,303.4,305.2
16,"    Wood products",2.5,2.3,3.0,3.5,4.2,3.6,2.9,1.8,2.1,2.2,2.7,4.0,4.7,4.6,4.8,4.7,5.4,4.8,4.8
17,"    Nonmetallic mineral products",7.3,6.8,6.9,7.8,9.3,10.9,8.7,6.4,6.4,7.2,7.6,8.3,9.8,10.7,12.0,12.5,10.7,10.9,12.1
18,"    Primary metals",6.6,5.5,6.3,7.2,8.1,11.0,13.7,11.1,10.4,11.8,12.7,12.6,11.2,10.5,11.7,15.2,17.1,17.4,15.0
19,"    Fabricated metal products",11.2,10.0,10.8,11.8,12.9,15.8,16.3,11.7,12.2,16.0,19.2,19.4,19.2,18.3,19.4,20.2,20.8,20.9,21.9
20,"    Machinery",14.3,13.4,14.3,16.0,17.6,19.0,21.2,19.1,19.9,26.1,25.3,26.9,25.6,24.3,23.6,27.1,27.0,28.5,28.8
21,"    Computer and electronic products",65.1,62.3,63.5,73.6,76.9,88.2,106.9,83.3,89.4,104.3,102.6,104.3,104.9,104.4,100.0,101.7,108.6,110.3,116.8
22,"    Electrical equipment, appliances, and components",5.7,5.3,5.4,5.2,6.2,6.9,7.1,6.5,6.5,7.2,8.0,8.2,8.5,8.9,8.0,8.6,10.0,10.6,9.2
23,"    Motor vehicles, bodies and trailers, and parts",32.7,34.2,32.5,33.2,33.5,32.6,29.9,24.3,29.4,33.0,42.3,46.1,49.3,49.0,45.6,50.9,57.7,51.8,48.8
24,"    Other transportation equipment",15.2,14.6,16.2,19.8,21.4,25.5,25.6,24.5,21.0,21.3,20.4,24.0,24.1,25.9,27.8,29.6,27.9,24.9,24.5
25,"    Furniture and related products",2.4,2.0,2.0,2.1,2.4,2.4,1.9,1.4,1.5,1.7,2.1,2.1,2.1,2.5,2.7,2.9,3.3,3.6,3.9
26,"    Miscellaneous manufacturing",8.6,8.1,9.5,10.2,11.0,11.0,11.0,10.8,11.2,12.8,13.6,14.1,14.8,16.3,16.8,15.5,19.0,19.6,19.7
27,"        Medical equipment and supplies",4.8,4.6,5.2,5.6,5.9,5.9,6.3,6.3,6.4,7.4,7.7,8.6,9.7,10.7,11.5,10.5,13.5,13.6,14.4
28,"        Other manufacturing",3.9,3.5,4.3,4.6,5.0,5.1,4.7,4.5,4.8,5.4,6.0,5.4,5.2,5.6,5.4,5.0,5.5,6.0,5.3
29,"    Nondurable goods",119.2,115.6,121.0,132.8,142.8,170.8,172.9,156.6,155.2,161.9,178.7,197.4,210.2,226.0,233.9,232.1,248.3,272.8,268.2
30,"        Food and beverage and tobacco products",19.3,18.8,19.5,21.9,23.0,23.6,26.3,23.5,23.5,25.6,28.2,30.0,32.6,35.2,37.9,35.9,44.3,43.0,40.3
31,"            Food manufacturing",14.6,14.9,15.4,16.9,18.0,18.4,20.6,18.3,18.8,20.8,22.3,23.5,25.9,27.4,28.7,27.8,35.3,34.3,32.7
32,"            Beverage and tobacco product manufacturing",4.7,4.0,4.1,5.0,5.0,5.1,5.8,5.1,4.7,4.8,5.9,6.6,6.7,7.8,9.2,8.1,9.0,8.7,7.6
