Table 4.1. Current-Cost Net Stock of Private Nonresidential Fixed Assets by Industry Group and Legal Form of Organization
Table 4.1. Current-Cost Net Stock of Private Nonresidential Fixed Assets by Industry Group and Legal Form of Organization
"Last Revised on: September 26, 2025"
Line,,2017,2018,2019,2020,2021,2022,2023,2024
,,,,,,,,,
1,"        Private nonresidential fixed assets",24066.9,25227.3,26423.9,27010.1,30051.8,33673.7,34771.0,35899.9
2,"          Equipment",6767.0,7086.5,7315.4,7442.0,8021.2,8609.5,8957.7,9281.9
3,"          Structures",14142.9,14773.9,15513.6,15623.6,17788.9,20414.9,20784.0,21194.2
4,"          Intellectual property products",3157.0,3366.9,3594.9,3944.5,4241.7,4649.3,5029.3,5423.8
,By selected industry group:,,,,,,,,
5,"  Farms",598.0,615.5,630.2,644.5,718.5,790.5,808.6,828.6
6,"    Equipment",267.9,269.6,270.4,273.2,303.4,335.0,341.3,346.2
7,"    Structures",330.1,345.8,359.7,371.2,415.0,455.3,467.1,482.2
8,"    Intellectual property products",0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2
9,"  Manufacturing",3956.0,4158.2,4327.4,4532.2,4936.9,5459.7,5615.3,5793.2
10,"    Equipment",1436.8,1490.6,1524.2,1544.5,1641.6,1742.6,1785.7,1827.6
11,"    Structures",1194.1,1277.0,1340.1,1371.7,1595.2,1902.5,1899.0,1912.7
12,"    Intellectual property products",1325.1,1390.7,1463.1,1616.0,1700.0,1814.6,1930.6,2052.9
13,"  Nonfarm nonmanufacturing",19512.9,20453.6,21466.3,21833.4,24396.5,27423.5,28347.1,29278.2
14,"    Equipment",5062.4,5326.3,5520.7,5624.3,6076.2,6531.9,6830.7,7108.1
15,"    Structures",12618.7,13151.2,13813.8,13880.7,15778.7,18057.0,18417.9,18799.3
16,"    Intellectual property products",1831.9,1976.1,2131.7,2328.4,2541.5,2834.5,3098.5,3370.8
,By legal form of organization:,,,,,,,,
17,"  Corporate",18287.3,19137.8,20015.1,20412.0,22665.1,25283.1,26155.2,27001.5
18,"    Equipment",5493.7,5762.7,5933.9,6013.8,6483.3,6943.3,7214.3,7468.9
19,"    Structures",10110.0,10510.6,11026.8,11042.3,12567.8,14382.1,14661.6,14919.9
20,"    Intellectual property products",2683.5,2864.5,3054.4,3355.9,3614.0,3957.7,4279.3,4612.7
,"    By corporate industry group:",,,,,,,,
21,"      Farms",155.4,160.6,165.5,170.5,192.6,213.9,220.7,227.9
22,"        Equipment",93.2,94.2,94.9,96.2,107.3,118.8,121.4,123.4
23,"        Structures",62.2,66.4,70.5,74.2,85.3,95.0,99.3,104.5
24,"        Intellectual property products",0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1
25,"      Manufacturing",3678.4,3861.9,4008.1,4196.6,4571.4,5053.1,5191.4,5350.6
26,"        Equipment",1318.7,1366.5,1392.8,1411.9,1500.1,1590.4,1628.0,1664.6
27,"        Structures",1131.3,1207.8,1264.6,1292.6,1501.2,1788.4,1783.2,1794.0
28,"        Intellectual property products",1228.4,1287.7,1350.8,1492.1,1570.2,1674.3,1780.2,1892.0
29,"      Nonfarm nonmanufacturing",14453.4,15115.3,15841.5,16044.9,17901.1,20016.1,20743.1,21423.0
30,"        Equipment",4081.8,4302.0,4446.3,4505.7,4876.0,5234.1,5464.9,5680.9
31,"        Structures",8916.5,9236.4,9691.7,9675.5,10981.4,12498.7,12779.1,13021.5
32,"        Intellectual property products",1455.1,1576.8,1703.6,1863.8,2043.8,2283.3,2499.1,2720.6
,"    By corporate financial and nonfinancial:",,,,,,,,
33,"      Financial",1633.5,1716.7,1800.1,1839.9,2066.4,2310.7,2341.4,2415.2
34,"        Equipment",576.4,600.1,619.9,620.0,661.4,678.0,681.4,696.6
35,"        Structures",870.1,913.5,951.7,968.4,1128.6,1330.8,1328.4,1348.6
36,"        Intellectual property products",187.1,203.1,228.4,251.5,276.4,301.9,331.5,370.1
37,"      Nonfinancial",16653.8,17421.1,18215.0,18572.0,20598.7,22972.4,23813.8,24586.3
38,"        Equipment",4917.3,5162.6,5314.0,5393.8,5821.9,6265.3,6532.9,6772.3
39,"        Structures",9240.0,9597.0,10075.0,10073.8,11439.3,13051.3,13333.1,13571.4
40,"        Intellectual property products",2496.5,2661.4,2826.0,3104.4,3337.6,3655.8,3947.8,4242.6
