"Table 5.1. Current-Cost Net Stock of Residential Fixed Assets by Type of Owner, Legal Form of Organization, and Tenure Group"
"Table 5.1. Current-Cost Net Stock of Residential Fixed Assets by Type of Owner, Legal Form of Organization, and Tenure Group"
"Last Revised on: September 26, 2025"
Line,,2017,2018,2019,2020,2021,2022,2023,2024
,,,,,,,,,
1,"        Residential fixed assets",21616.8,22843.3,23663.6,25372.7,29718.5,33201.7,33814.5,34975.0
,By type of owner and legal form of organization:,,,,,,,,
2,"  Private",21188.5,22394.3,23201.6,24891.0,29187.8,32637.9,33243.6,34376.6
3,"    Corporate",234.8,249.6,256.3,271.1,307.9,341.4,352.6,368.6
4,"    Noncorporate",20953.7,22144.7,22945.3,24619.9,28879.8,32296.5,32891.0,34008.0
5,"      Sole proprietorships and partnerships",1781.3,1879.2,1921.9,2022.3,2281.1,2505.1,2576.9,2683.8
6,"      Nonprofit institutions",282.9,299.4,307.8,325.8,371.4,411.3,418.3,431.1
7,"      Households",18889.6,19966.1,20715.7,22271.8,26227.4,29380.1,29895.8,30893.0
8,"  Government",428.4,448.9,462.0,481.6,530.7,563.8,570.9,598.5
9,"      Federal",116.7,121.1,123.2,129.9,150.3,166.1,164.9,165.3
10,"      State and local",312.0,328.3,339.3,352.3,381.0,398.4,406.8,434.1
,By tenure group: 1,,,,,,,,
11,"  Owner-occupied",16928.8,17912.5,18608.5,20034.2,23642.0,26518.0,26996.2,27911.3
12,"  Tenant-occupied",4599.4,4835.6,4955.0,5229.9,5949.6,6541.7,6674.8,6916.9

Legend/Footnotes
"1. Excludes other residential fixed assets, which consist primarily of dormitories and of fraternity and sorority houses."
